2015/07/31 15:34:30 INFO  - jmeter.util.JMeterUtils: Setting Locale to en_US 
2015/07/31 15:34:31 INFO  - jmeter.JMeter: Loading user properties from: /usr/share/jmeter/bin/user.properties 
2015/07/31 15:34:31 INFO  - jmeter.JMeter: Loading system properties from: /usr/share/jmeter/bin/system.properties 
2015/07/31 15:34:31 INFO  - jmeter.JMeter: Copyright (c) 1998-2012 The Apache Software Foundation 
2015/07/31 15:34:31 INFO  - jmeter.JMeter: Version 2.8.20130705 
2015/07/31 15:34:31 INFO  - jmeter.JMeter: java.version=1.7.0_79 
2015/07/31 15:34:31 INFO  - jmeter.JMeter: java.vm.name=OpenJDK 64-Bit Server VM 
2015/07/31 15:34:31 INFO  - jmeter.JMeter: os.name=Linux 
2015/07/31 15:34:31 INFO  - jmeter.JMeter: os.arch=amd64 
2015/07/31 15:34:31 INFO  - jmeter.JMeter: os.version=3.13.0-57-generic 
2015/07/31 15:34:31 INFO  - jmeter.JMeter: file.encoding=UTF-8 
2015/07/31 15:34:31 INFO  - jmeter.JMeter: Default Locale=English (United States) 
2015/07/31 15:34:31 INFO  - jmeter.JMeter: JMeter  Locale=English (United States) 
2015/07/31 15:34:31 INFO  - jmeter.JMeter: JMeterHome=/usr/share/jmeter 
2015/07/31 15:34:31 INFO  - jmeter.JMeter: user.dir  =/home/bauhw/Developer/Jmeter 
2015/07/31 15:34:31 INFO  - jmeter.JMeter: PWD       =/home/bauhw/Developer/Jmeter 
2015/07/31 15:34:31 INFO  - jmeter.JMeter: IP: 127.0.1.1 Name: bauhw-HP-ProBook-470-G1 FullName: bauhw-HP-ProBook-470-G1 
2015/07/31 15:34:31 INFO  - jmeter.JMeter: Loaded icon properties from org/apache/jmeter/images/icon.properties 
2015/07/31 15:34:32 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must contain the string: '.functions.' 
2015/07/31 15:34:32 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must not contain the string: '.gui.' 
2015/07/31 15:34:33 INFO  - jmeter.gui.action.LookAndFeelCommand: Using look and feel: javax.swing.plaf.metal.MetalLookAndFeel [Metal, CrossPlatform, System] 
2015/07/31 15:34:33 INFO  - jmeter.util.BSFTestElement: Registering JMeter version of JavaScript engine as work-round for BSF-22 
2015/07/31 15:34:34 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Cannot find .className property for htmlParser, using default 
2015/07/31 15:34:34 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/html is  
2015/07/31 15:34:34 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xhtml+xml is  
2015/07/31 15:34:34 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xml is  
2015/07/31 15:34:34 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/xml is  
2015/07/31 15:34:34 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/vnd.wap.wml is org.apache.jmeter.protocol.http.parser.RegexpHTMLParser 
2015/07/31 15:34:34 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Reuse SSL session context on subsequent iterations: true 
2015/07/31 15:34:34 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.protocol.http.modifier.gui.ParamModifierGui 
2015/07/31 15:34:34 INFO  - jmeter.samplers.SampleResult: Note: Sample TimeStamps are START times 
2015/07/31 15:34:34 INFO  - jmeter.samplers.SampleResult: sampleresult.default.encoding is set to ISO-8859-1 
2015/07/31 15:34:34 INFO  - jmeter.samplers.SampleResult: sampleresult.useNanoTime=true 
2015/07/31 15:34:34 INFO  - jmeter.samplers.SampleResult: sampleresult.nanoThreadSleep=5000 
2015/07/31 15:34:44 INFO  - jmeter.services.FileServer: Default base='/home/bauhw/Developer/Jmeter' 
2015/07/31 15:34:44 INFO  - jmeter.gui.action.Load: Loading file: /home/bauhw/Developer/Jmeter/Incremental_charge_total_login_email_commands3_logout.jmx 
2015/07/31 15:34:44 INFO  - jmeter.services.FileServer: Set new base='/home/bauhw/Developer/Jmeter' 
2015/07/31 15:34:44 INFO  - jmeter.save.SaveService: Testplan (JMX) version: 2.2. Testlog (JTL) version: 2.2 
2015/07/31 15:34:45 INFO  - jmeter.save.SaveService: Using SaveService properties file encoding UTF-8 
2015/07/31 15:34:45 INFO  - jmeter.save.SaveService: Using SaveService properties file version 1382180 
2015/07/31 15:34:45 INFO  - jmeter.save.SaveService: Using SaveService properties version 2.3 
2015/07/31 15:34:45 INFO  - jmeter.save.SaveService: All converter versions present and correct 
2015/07/31 15:34:45 INFO  - jmeter.protocol.http.control.CookieManager: Settings: Delete null: true Check: true Allow variable: true Save: false Prefix: COOKIE_ 
2015/07/31 15:34:45 INFO  - jmeter.services.FileServer: Set new base='/home/bauhw/Developer/Jmeter' 
2015/07/31 15:37:04 INFO  - jmeter.engine.StandardJMeterEngine: Listeners will be started after enabling running version 
2015/07/31 15:37:04 INFO  - jmeter.engine.StandardJMeterEngine: To revert to the earlier behaviour, define jmeterengine.startlistenerslater=false 
2015/07/31 15:37:04 INFO  - jmeter.engine.StandardJMeterEngine: Running the test! 
2015/07/31 15:37:04 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(true,*local*) 
2015/07/31 15:37:04 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 1 : Thread Group Normal flow 
2015/07/31 15:37:04 INFO  - jmeter.engine.StandardJMeterEngine: Starting 100 threads for group Thread Group Normal flow. 
2015/07/31 15:37:04 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2015/07/31 15:37:04 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 1 threads 100 ramp-up 0 perThread 0.0 delayedStart=false 
2015/07/31 15:37:04 INFO  - jmeter.threads.JMeterThread: jmeterthread.startearlier=true (see jmeter.properties) 
2015/07/31 15:37:04 INFO  - jmeter.threads.JMeterThread: Running PostProcessors in forward order 
2015/07/31 15:37:04 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group Normal flow 1-1 
2015/07/31 15:37:04 INFO  - jmeter.services.FileServer: Stored: final_people.csv 
2015/07/31 15:37:04 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group Normal flow 1-2 
2015/07/31 15:37:04 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group Normal flow 1-3 
2015/07/31 15:37:04 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group Normal flow 1-4 
